phrase,count,rank
"ADJP(ADJP,CC,NP)",27,750
"NP(JJ,NN,S)",27,751
"VP(VBD,PRT,PP)",27,752
"NP(NNP,NN,NN)",27,753
"VP(VBZ,ADJP,NP)",27,754
"ADJP(JJ,CC,DT)",27,755
"NP(PRP$,NML,NNS)",26,756
"NP(NNP,RB)",26,757
"NP(JJ,NN,SBAR)",26,758
"NP(ADJP,SBAR)",26,759
"S(NP,CONJP,VP)",26,760
"NP(WDT,NN)",26,761
"VP(NP,PP)",26,762
"VP(NN,S)",26,763
"NP(DT,DT,NN)",26,764
"VP(VBD,ADJP,S)",26,765
"CONJP(IN,RB)",26,766
"VP(VBP,PP,ADVP)",26,767
"ADJP(RBR,VBN)",26,768
"VP(VBN,PRT,NP)",26,769
"ADJP(VBN,CC,VBN)",26,770
"S(ADVP,SBAR)",25,771
"QP(CD,CC,CD)",25,772
"PP(CONJP,PP)",25,773
"SQ(VBP,NP)",25,774
"NP(PRP$,JJ,NNP)",25,775
"NP(NP,CC,ADJP)",25,776
"SBARQ(CC,WHNP,SQ)",25,777
"PRN(CC,S)",25,778
"VP(VBZ,SBAR,SBAR)",25,779
"NP(NML,FW)",25,780
"S(SBAR,NP)",25,781
"QP(ADVP,DT)",25,782
"ADJP(RB,RBR)",25,783
"ADJP(ADJP,CC,VP)",25,784
"VP(VBZ,UCP)",25,785
"NP(NP,INTJ)",25,786
"VP(VBP,ADJP,ADVP)",25,787
"S(PP,S,S)",25,788
"PP(PP,RB,PP)",25,789
"VP(VBG,ADVP,SBAR)",25,790
"VP(MD,PRN,VP)",24,791
"SBAR(SBAR,CC,PP)",24,792
"NP(JJ,ADJP,NN)",24,793
"PP(IN,IN,S)",24,794
"NP(NML,JJ,NN)",24,795
"NP(NP,ADJP,PP)",24,796
"VP(VP,CC,S)",24,797
"NP(NP,CONJP,PP)",24,798
"VP(VBG,PP,S)",24,799
"S(ADVP,S)",24,800
"ADJP(ADJP,CONJP,ADJP)",24,801
"QP(CD,CC,JJR)",24,802
"VP(VBZ,ADVP,ADVP)",24,803
"S(NP,CC,S)",24,804
"PP(CC,IN,NP)",24,805
"SBAR(WHADVP,NP)",24,806
"VP(VP,CC,ADJP)",24,807
"WHPP(IN,SBAR)",24,808
"VP(NN,VP)",24,809
"VP(VB,NP,PRT)",24,810
"SBAR(IN,CC,RB)",24,811
"NP(NP,NML,NN)",23,812
"VP(VP,CONJP,VP)",23,813
"NP(NML,FW,FW)",23,814
"NP(PRP$,JJS,NNS)",23,815
"PP(PP,NP)",23,816
"PP(PP,CC,ADVP)",23,817
"ADVP(RB,RBR,JJ)",23,818
"VP(VBN,S,S)",23,819
"NP(FW,NN)",23,820
"NP(JJ,NNS,POS)",23,821
"ADVP(JJR,PP)",23,822
"NP(PRP$,JJR,NNS)",23,823
"NP(NN,NP)",23,824
"VP(VP,CC,SBAR)",23,825
"VP(VP,ADVP,VP)",22,826
"PP(PP,CC,NP)",22,827
"PP(ADVP,IN,PP)",22,828
"ADJP(NN,PP)",22,829
"ADVP(RB,WRB)",22,830
"ADJP(CD,HYPH,VBN)",22,831
"NP(NN,HYPH,VBG)",22,832
"WHNP(WHNP,SBAR)",22,833
"NP(DT,JJ,NNPS)",22,834
"S(S,CC,SQ)",22,835
"SBAR(RB,S)",22,836
"NP(VBN,JJ,NN)",22,837
"NML(FW,HYPH,FW)",22,838
"VP(VBD,S,SBAR)",22,839
"ADVP(DT,RB)",22,840
"SBAR(WHNP,SBAR,VP)",22,841
"VP(VBZ,SBAR,S)",22,842
"SBARQ(WHNP,VP)",22,843
"NP(JJ,NML,NN)",22,844
"NP(JJ,NNS,S)",21,845
"NP(NNP,CC,NNS)",21,846
"NP(PRP,NNP)",21,847
"NP(ADJP,NP)",21,848
"S(CC,NP)",21,849
"ADJP(RB,HYPH,VBG)",21,850
"PP(IN,NML)",21,851
"PP(IN,JJ)",21,852
"S(PRN,VP)",21,853
"NP(ADVP,NP,PP)",21,854
"NP(NNP,HYPH,NN)",21,855
"S(PP,SBAR,VP)",21,856
"S(NP,ADJP,VP)",21,857
"S(ADVP,PP)",21,858
"NP(DT,NN,FW)",21,859
"QP(CD,HYPH,CD)",21,860
"ADJP(RBR,JJ,S)",21,861
"NP(NP,ADVP,SBAR)",21,862
"NP(PRP,NN)",21,863
"VP(VBG,PP,ADVP)",21,864
"ADJP(CD,HYPH,JJ)",21,865
"S(ADJP,NP)",21,866
"NP(NP,NP,S)",21,867
"ADJP(JJR,CC,RBR)",21,868
"VP(VBP,ADVP,ADVP)",21,869
"SBAR(IN,NP,VP)",21,870
"WHNP(NP,PP)",21,871
"S(PP,S)",21,872
"VP(MD,CC,VP)",21,873
"NP(PRP,CC,PRP)",21,874
"ADVP(RB,RBR,RB)",20,875
"NP(NP,SQ)",20,876
"ADJP(ADVP,SBAR)",20,877
"ADVP(DT,NN)",20,878
"S(ADVP,PP,VP)",20,879
"SBAR(SBAR,CC,NP)",20,880
"SBAR(WHADVP,FRAG)",20,881
"PP(IN,INTJ,NP)",20,882
"NP(JJ,VBN,NNS)",20,883
"S(SBAR,S)",20,884
"VP(VBP,PRT,PP)",20,885
"PP(PP,ADJP)",20,886
"NP(NP,SYM,NP)",20,887
"SQ(VBP,NP,NP)",20,888
"NP(DT,VP)",20,889
"NP(NNS,SBAR)",20,890
"NP(RB,DT,JJ)",20,891
"NML(JJ,JJ)",20,892
"NP(ADVP,NNS)",20,893
"ADJP(RB,DT)",20,894
"PP(IN,CC,NP)",20,895
"S(S,PP)",20,896
"VP(VB,RB,VP)",20,897
"NP(DT,PRP)",20,898
"ADJP(ADVP,VBN)",20,899
"VP(VBD,PRT)",20,900
"WHNP(WP$,JJ,NNS)",20,901
"ADVP(RP,PP)",20,902
"NP(DT,CC,NN)",20,903
"ADVP(RBR,CC,RBR)",19,904
"ADJP(FW,HYPH,FW)",19,905
"SBARQ(SBAR,WHADVP,SQ)",19,906
"WHNP(WRB,JJ)",19,907
"ADJP(DT,JJ)",19,908
"ADJP(JJ,CC,ADJP)",19,909
"NP(DT,JJ,CD)",19,910
"NP(ADJP,NN,NN)",19,911
"ADJP(ADJP,PP,PP)",19,912
"NP(DT,FW,FW)",19,913
"S(PP,SBAR)",19,914
"SBARQ(WHNP,S)",19,915
"PP(IN,ADVP,NP)",19,916
"SBAR(WHPP,NP)",19,917
"ADJP(DT,HYPH,JJ)",19,918
"NP(NNP,NP)",19,919
"NP(DT,NN,JJ)",19,920
"VP(VB,NP,ADJP)",19,921
"VP(VB,HYPH,ADJP)",19,922
"S(S,CC,VP)",19,923
"VP(VB,SBAR,S)",19,924
"S(S,PRN)",19,925
"NP(VBN,NN,NNS)",18,926
"VP(VBZ,CC,NP)",18,927
"NP(CD,NN,NNS)",18,928
"ADVP(RBR,PP)",18,929
"VP(VBZ,NP,ADJP)",18,930
"VP(VB,NP,VP)",18,931
"ADJP(ADJP,CC,ADVP)",18,932
"SINV(ADVP,VP)",18,933
"S(CC,SBAR)",18,934
"VP(VB,HYPH,VP)",18,935
"VP(VBD,S,PP)",18,936
"NP(PRP$,NNS,POS)",18,937
"ADVP(FW,FW,FW)",18,938
"NP(JJ,JJ)",18,939
"S(SINV,NP,VP)",18,940
"ADJP(JJ,HYPH,VBG)",18,941
"SBAR(IN,VP)",18,942
"WHNP(WHADJP,NNS)",18,943
"S(CC,S,S)",18,944
"NP(JJ,NN,POS)",17,945
"WHNP(WDT,S)",17,946
"INTJ(FW,FW)",17,947
"VP(VBZ,SBAR,NP)",17,948
"NP(RB,JJ,NN)",17,949
"VP(VBP,CC,VBP)",17,950
"PP(RB,IN)",17,951
"S(SBAR,SBAR,VP)",17,952
"VP(VP,VP,VP)",17,953
"ADVP(RB,IN,NP)",17,954
"NP(DT,NNPS,POS)",17,955
"NP(NP,RB)",17,956
"NP(NNP,JJ,NNS)",17,957
"NP(NP,NNPS)",17,958
"NP(PRP$,NNPS)",17,959
"S(PP,VP,VP)",17,960
"VP(VBP,ADJP,S)",17,961
"NP(NN,NNP,NNP)",17,962
"NP(JJ,NNS,NNS)",17,963
"VP(VP,PP)",17,964
"NP(DT,SBAR)",17,965
"NP(DT,RB,NN)",17,966
"SBAR(SBAR,CC,ADVP)",17,967
"SBAR(WHNP,S,VP)",17,968
"VP(MD,SBAR)",17,969
"ADJP(NNP,JJ)",17,970
"NP(SBAR,NP)",17,971
"ADJP(JJS,JJ)",16,972
"VP(VBD,PRT,S)",16,973
"VP(VBP,NP,ADJP)",16,974
"NP(NP,JJ,NNP)",16,975
"NP(S,NP)",16,976
"NP(DT,NNS,S)",16,977
"NML(JJ,HYPH,JJ)",16,978
"UCP(JJ,CC,JJ)",16,979
"ADVP(ADJP,PP)",16,980
"NP(NP,SBAR,PP)",16,981
"NP(RB,NNP)",16,982
"NP(JJ,NNP,NNS)",16,983
"PP(PP,CC,VP)",16,984
"S(NP,CC,VP)",16,985
"NP(NP,INTJ,NP)",16,986
"ADJP(RB,RB,VBN)",16,987
"NP(CD,NNP)",16,988
"S(SINV,S)",16,989
"PP(PP,ADVP)",16,990
"PP(UH,NP)",16,991
"S(PP,PP,VP)",16,992
"ADVP(DT,JJR)",16,993
"ADVP(RB,IN,S)",16,994
"SBAR(ADVP,WHADVP,S)",16,995
"VP(VBN,ADJP,SBAR)",16,996
"NP(DT,NN,NP)",16,997
"S(S,SQ)",16,998
"ADJP(DT,CC,JJ)",16,999
"S(ADJP,SBAR)",16,1000
"UCP(ADVP,CC,PP)",16,1001
"NP(JJ,VBG)",16,1002
"FRAG(ADVP,NP)",16,1003
"VP(VBZ,CC,VBZ)",16,1004
"NP(NP,FRAG)",16,1005
"VP(VBZ,ADJP,VP)",16,1006
"NP(LS,NNP)",16,1007
"ADJP(RBR,VBN,PP)",16,1008
"WHADVP(WRB,CC,WRB)",16,1009
"NP(NP,VBG,NN)",16,1010
"VP(NNS,S)",16,1011
"S(SBAR,PP,VP)",15,1012
"VP(VBN,UCP)",15,1013
"NP(JJ,NNS,NN)",15,1014
"NP(ADVP,SBAR)",15,1015
"S(SBAR,S,VP)",15,1016
"S(CC,PP,VP)",15,1017
"SBAR(WHNP,PP,VP)",15,1018
"NP(CD,ADJP,NN)",15,1019
"VP(VBP,S,PP)",15,1020
"S(SINV,CC,S)",15,1021
"NP(NP,NP,FW)",15,1022
"NP(NNPS,NNP)",15,1023
"NP(PRP$,NNS,S)",15,1024
"NP(DT,FW)",15,1025
"CONJP(IN,CC,RB)",15,1026
"NP(JJS,JJ,NNS)",15,1027
"SINV(VP,VP,NP)",15,1028
"ADVP(ADVP,IN,S)",15,1029
"NP(DT,VBN,NNP)",15,1030
"ADJP(NP,HYPH,VBN)",15,1031
"S(SBAR,CC,S)",15,1032
"SQ(VBZ,NP,SBAR)",15,1033
"NP(PRP$,JJS)",15,1034
"NP(PRP$,CD,NNS)",15,1035
"NP(NNP,NNP,FW)",15,1036
"ADJP(JJ,JJ,PP)",15,1037
"VP(VBZ,PRN,NP)",15,1038
"VP(VB,UCP)",15,1039
"NP(PRP,NNS)",15,1040
"NML(NN,CC,JJ)",15,1041
"NP(JJ,NNP,NNP)",14,1042
"NML(NN,HYPH,JJ)",14,1043
"NP(NP,POS,NN)",14,1044
"PRN(S,NP)",14,1045
"PP(JJ,IN,SBAR)",14,1046
"ADJP(NN,VBN)",14,1047
"VP(VBN,ADJP,S)",14,1048
"S(INTJ,VP)",14,1049
"NP(CC,DT,NNS)",14,1050
"ADJP(RBR,CC,RBR)",14,1051
"NP(UCP,NN)",14,1052
"VP(VBZ,ADJP,ADJP)",14,1053
"S(CC,ADVP,VP)",14,1054
"SBAR(WHNP,VP)",14,1055
"UCP(ADJP,CC,ADJP)",14,1056
"NP(NP,JJR,NN)",14,1057
"UCP(JJ,CC,NN)",14,1058
"ADJP(JJR,JJ)",14,1059
"NML(CD,HYPH,CD)",14,1060
"VP(NNS,SBAR)",14,1061
"ADJP(VBN,SBAR)",14,1062
"NP(VBG,JJ,NNS)",14,1063
"ADJP(ADJP,S)",14,1064
"NP(PRP,DT)",14,1065
"SBAR(WHNP,PP)",14,1066
"ADJP(JJ,CC)",14,1067
"NP(DT,PP)",14,1068
"NP(WHNP,SBAR)",14,1069
"NP(PRP$,NNP,NN)",14,1070
"NP(NP,CONJP)",14,1071
"SBAR(SBAR,CC,VP)",14,1072
"UCP(NP,CC,PP)",14,1073
"NP(NP,NML,NNS)",13,1074
"PP(IN,IN)",13,1075
"NP(NP,VP,NP)",13,1076
"VP(VP,CC,ADVP)",13,1077
"FRAG(PP,NP)",13,1078
"NML(NN,HYPH,NNP)",13,1079
"VP(VBG,ADVP,S)",13,1080
"VP(VBP,NP,VP)",13,1081
"VP(VBG,NP,PRT)",13,1082
"NP(NP,S,S)",13,1083
"NP(JJ,HYPH,NNS)",13,1084
"VP(ADVP,VBG,PP)",13,1085
"ADVP(ADVP,CC,PP)",13,1086
"ADJP(JJ,VBN)",13,1087
"ADJP(NP,HYPH,JJ)",13,1088
"ADJP(JJ,ADJP)",13,1089
"VP(VBP,ADJP,NP)",13,1090
"NP(RB,HYPH,NN)",13,1091
"SQ(VBP,NP,ADJP)",13,1092
"VP(PP,SBAR)",13,1093
"PP(ADVP,CC,PP)",13,1094
"PP(PP,VP)",13,1095
"VP(VBZ,RB,ADVP)",13,1096
"SBAR(ADVP,SBAR)",13,1097
"NP(ADJP,ADJP,NNS)",13,1098
"NP(NNP,NN,NNS)",13,1099
"NP(FW,NNS)",13,1100
"NP(ADJP,ADJP)",13,1101
"ADJP(NN,CC,JJ)",13,1102
"VP(VB,ADJP,NP)",13,1103
"S(S,CC,PP)",13,1104
"ADJP(ADVP,RB,JJ)",13,1105
"ADJP(JJ,ADVP,PP)",13,1106
"SBAR(WHNP,SQ)",13,1107
"ADJP(NNP,HYPH,VBN)",13,1108
"NP(NNP,VBZ)",13,1109
"VP(CC,VP)",13,1110
"VP(VBD,RB,PP)",13,1111
"S(S,PP,VP)",13,1112
"NP(VBN,NN,NN)",13,1113
"S(ADVP,S,S)",13,1114
"NP(DT,S)",13,1115
"VP(VB,ADVP,ADVP)",13,1116
"VP(VBP,PRT)",13,1117
"NP(NP,FW,NNP)",13,1118
"CONJP(RB,IN,NP)",13,1119
"NP(NP,CC,NNS)",13,1120
"VP(VBN,PRT,S)",13,1121
"NP(NNP,POS,NN)",13,1122
"VP(VBP,UCP)",13,1123
"SBAR(CONJP,IN,S)",13,1124
"NP(PRP$,JJ,NML)",13,1125
"NP(RB,PRP)",13,1126
"NP(S,CC,NP)",12,1127
"NP(NN,DT,NN)",12,1128
"NP(NML,NN,NN)",12,1129
"VP(IN,VP)",12,1130
"S(S,SINV)",12,1131
"VP(MD,SBAR,VP)",12,1132
"NP(NP,NN,NP)",12,1133
"VP(VBN,ADVP,ADVP)",12,1134
"SBAR(WHNP,FRAG)",12,1135
"NP(DT,QP,NNS)",12,1136
"NP(NNS,NNP)",12,1137
"NP(NP,HYPH,VP)",12,1138
"NP(NN,ADJP)",12,1139
"NP(DT,NN,VBZ)",12,1140
"SQ(VBD,NP)",12,1141
"NP(JJ,CC,NN)",12,1142
"NP(CONJP,NP)",12,1143
"VP(VBN,SBAR,PP)",12,1144
"NP(NP,PRN,SBAR)",12,1145
"QP(RB,PDT)",12,1146
"NP(NN,UH)",12,1147
"ADJP(JJ,RB,PP)",12,1148
"VP(VB,SBAR,PP)",12,1149
"NP(JJR,JJ,NN)",12,1150
"VP(ADVP,VP)",12,1151
"S(VP,NP,VP)",12,1152
"VP(FW,FW,NP)",12,1153
"VP(RB,VBN,PP)",12,1154
"NP(NP,UH)",12,1155
"SINV(VBZ,NP,VP)",12,1156
"NP(NP,VP,PP)",12,1157
"ADJP(JJ,ADVP)",12,1158
"ADVP(CC,RB)",12,1159
"S(ADJP,PP)",12,1160
"NP(NNP,NNP,CD)",12,1161
"PP(CONJP,IN,NP)",12,1162
"SBAR(CC,IN,S)",12,1163
"NP(NML,PP)",12,1164
"NP(NP,NN,NNP)",12,1165
"NP(NNP,JJ)",12,1166
"NP(VBG,NN,NNS)",12,1167
"NP(NP,NNP,NN)",12,1168
"NML(NML,HYPH,NN)",12,1169
"VP(FW,NP,NP)",12,1170
"UCP(PP,CC,ADVP)",12,1171
"NP(NN,CC,JJ)",12,1172
"ADVP(RB,NN)",12,1173
"PP(IN,NP,NP)",12,1174
"NP(DT,VBN,JJ)",11,1175
"NP(DT,DT)",11,1176
"ADJP(NN,HYPH,RB)",11,1177
"NP(CD,HYPH,NN)",11,1178
"NP(CD,NN,NN)",11,1179
"VP(VBN,PRT,ADVP)",11,1180
"NP(CC,DT,NN)",11,1181
"ADJP(ADJP,CC,JJ)",11,1182
"ADJP(NN,HYPH,RP)",11,1183
"NP(PDT,JJ,NNS)",11,1184
"PP(IN,SBARQ)",11,1185
"NP(CD,VBG,NNS)",11,1186
"UCP(ADJP,CC,VP)",11,1187
"NP(NML,CC,NP)",11,1188
"FRAG(NP,PP)",11,1189
"NP(DT,ADJP,JJ)",11,1190
"NP(RB,ADJP,NNS)",11,1191
"NP(NN,JJ,POS)",11,1192
"VP(VBG,UCP)",11,1193
"NP(NN,VBG)",11,1194
"ADVP(RB,VBN)",11,1195
"S(SBAR,S,S)",11,1196
"NML(FW,FW,FW)",11,1197
"NP(PRP$,NNS,NN)",11,1198
"VP(VBD,PRT,SBAR)",11,1199
"VP(VBD,PP,ADVP)",11,1200
"SBARQ(PP,SQ)",11,1201
"ADJP(JJ,RB,JJ)",11,1202
"ADVP(DT,RBR,JJ)",11,1203
"ADJP(ADJP,CONJP,NP)",11,1204
"NP(PDT,DT,JJ)",11,1205
"NP(UH,UH)",11,1206
"SQ(MD,NP)",11,1207
"NML(NNP,NNPS)",11,1208
"NP(NN,VBZ)",11,1209
"NP(NP,NP,ADJP)",11,1210
"NML(NN,JJ)",11,1211
"SBAR(CC,SBAR)",11,1212
"NP(NP,NFP,NP)",11,1213
"VP(VB,S,NP)",11,1214
"NML(NML,NNS)",11,1215
"VP(NN,PP,PP)",11,1216
"PP(PP,CC,ADJP)",11,1217
"PP(NP,PP)",11,1218
"VP(VBG,ADVP,ADJP)",11,1219
"S(S,FRAG)",11,1220
"NP(NP,SBAR,SBAR)",11,1221
"NP(CC,ADJP,NNS)",11,1222
"VP(NN,NP,PP)",10,1223
"NP(FW,HYPH,FW)",10,1224
"S(NP,ADJP,PP)",10,1225
"NP(NP,ADVP,S)",10,1226
"S(NP,DT,VP)",10,1227
"SBAR(IN,ADJP)",10,1228
"S(SBAR,SBAR)",10,1229
"NP(NP,NML,NNP)",10,1230
"PP(PP,IN,NP)",10,1231
"ADVP(RB,VBG)",10,1232
"ADVP(ADVP,CC,RB)",10,1233
"SBARQ(SBAR,WHNP,SQ)",10,1234
"ADJP(RB,HYPH,NN)",10,1235
"NP(NN,FW)",10,1236
"ADJP(JJ,JJ,JJ)",10,1237
"SBAR(IN,RB)",10,1238
"NP(PRP$,VBG)",10,1239
"S(VP,CC,VP)",10,1240
"VP(VBZ,CONJP,VP)",10,1241
"NP(DT,NP)",10,1242
"NP(NP,RB,VP)",10,1243
"NP(ADVP,DT,NNS)",10,1244
"VP(VBN,SBAR,SBAR)",10,1245
"NP(NML,NN,NNS)",10,1246
"WHNP(WHADJP,NN)",10,1247
"NP(NP,PRN,NP)",10,1248
"NP(JJ,VBG,NNS)",10,1249
"NML(NP,CC,NML)",10,1250
"VP(VBG,CC,NN)",10,1251
"FRAG(NP,VP)",10,1252
"NP(JJ,JJ,NNP)",10,1253
"NP(NNPS,CC,NNPS)",10,1254
"SINV(VBP,NP,VP)",10,1255
"VP(VBD,S,S)",10,1256
"FRAG(INTJ,NP)",10,1257
"WHNP(WDT,NN,NN)",10,1258
"NP(NN,CC,NP)",10,1259
"SINV(VBZ,NP)",10,1260
"S(VP,NP)",10,1261
"NP(UCP,NNS)",10,1262
"NP(UH,NN)",10,1263
"ADJP(RBR,RB,JJ)",10,1264
"ADVP(RB,CC,JJ)",10,1265
"NP(FW,FW,NNP)",10,1266
"PP(IN,PP,NP)",10,1267
"SINV(VBD,NP)",10,1268
"S(S,ADVP,S)",10,1269
"FRAG(NP,ADVP)",10,1270
"VP(VBZ,CC,VP)",10,1271
"NP(PRP,CC,NNP)",10,1272
"SQ(VBZ,VP)",10,1273
"NP(RB,NNP,NNP)",10,1274
"S(NP,NP,SBAR)",10,1275
"VP(VB,PRN,SBAR)",10,1276
"NP(PRP$,ADJP)",10,1277
"UCP(NN,CC,JJ)",10,1278
"NML(ADJP,NN)",10,1279
"ADJP(CC,JJ)",10,1280
"ADJP(NP,PP)",10,1281
"S(LST,NP,VP)",10,1282
"SQ(VBD,NP,NP)",10,1283
"PP(PP,S)",10,1284
"VP(VBZ,INTJ)",10,1285
"VP(VBZ,PRN,ADJP)",10,1286
"VP(ADVP,VBD)",10,1287
"ADJP(NN,ADJP)",10,1288
"NP(NP,VBN,NNS)",10,1289
"S(ADVP,VP,VP)",10,1290
"UCP(ADJP,CC,NP)",10,1291
"NP(NP,CC,JJ)",9,1292
"PP(SYM,NP)",9,1293
"NP(ADJP,CC,NP)",9,1294
"FRAG(CC,NP)",9,1295
"PP(IN,HYPH,S)",9,1296
"NP(DT,NNP,FW)",9,1297
"S(NML,VP)",9,1298
"VP(NNP,NP)",9,1299
"SBAR(CC,S)",9,1300
"SBAR(IN,NN,SBAR)",9,1301
"NP(FW,FW,NN)",9,1302
"NP(IN,NP)",9,1303
"NP(NML,NNPS)",9,1304
"QP(CC,DT)",9,1305
"SQ(MD,VP)",9,1306
"FRAG(RB,ADJP)",9,1307
"NP(NP,FW,PP)",9,1308
"NP(NP,FW,SBAR)",9,1309
"NML(JJR,HYPH,NN)",9,1310
"NP(NP,VBG,NNS)",9,1311
"NP(NN,HYPH,JJ)",9,1312
"ADVP(JJR,CC,JJR)",9,1313
"PP(IN,RB)",9,1314
"NP(NP,NNS,S)",9,1315
"NP(NP,DT,NNP)",9,1316
"NP(NP,JJR,NNS)",9,1317
"NP(JJ,JJR,NNS)",9,1318
"VP(ADVP,VBN,SBAR)",9,1319
"VP(VBP,RB,S)",9,1320
"S(CC,PP)",9,1321
"VP(VBD,RB)",9,1322
"ADVP(IN,RBS)",9,1323
"NP(JJ,CC,NNP)",9,1324
"VP(PP,NP)",9,1325
"NP(DT,UH)",9,1326
"VP(VBZ,PRN)",9,1327
"SBAR(WHADVP,SQ)",9,1328
"NP(ADVP,FW,FW)",9,1329
"VP(MD,ADVP)",9,1330
"VP(VBD,NP,VP)",9,1331
"SBAR(NP,SBAR)",9,1332
"NP(NP,VP,SBAR)",9,1333
"VP(VB,S,ADVP)",9,1334
"NP(VBG,JJ,NN)",9,1335
"S(S,PRN,VP)",9,1336
"NP(NNPS,NN)",9,1337
"VP(VB,WHNP)",9,1338
"NP(IN,NNP)",9,1339
"NP(DT,POS)",9,1340
"NP(NP,DT)",9,1341
"NP(DT,VBG,NNP)",9,1342
"SBAR(S,CC,S)",9,1343
"NP(CC,JJ,NNS)",9,1344
"NP(NP,JJS,NN)",9,1345
"NML(JJ,HYPH,NNP)",9,1346
"VP(FW,ADVP,NP)",9,1347
"VP(VB,ADVP,ADJP)",9,1348
"ADJP(NN,HYPH,IN)",9,1349
"UCP(PP,CC,PP)",9,1350
"PP(TO,VP)",9,1351
"NP(NN,SYM)",9,1352
"VP(FW,FW,FW)",9,1353
"ADJP(JJ,JJR)",9,1354
"NML(VBN,NN)",9,1355
"NML(NNP,JJ)",9,1356
"NP(NP,VBN)",9,1357
"WHNP(RB,WP)",9,1358
"S(FRAG,VP)",9,1359
"S(VP,SBAR)",9,1360
"NP(ADJP,NNPS)",9,1361
"LST(FW,FW)",9,1362
"VP(PP,VBZ,NP)",9,1363
"NP(NNP,NNP,NNPS)",9,1364
"VP(VP,RB,VP)",9,1365
"NP(ADJP,VBN,NNS)",9,1366
"NP(DT,JJ,POS)",9,1367
"NP(DT,NNPS,NNP)",9,1368
"NP(FW,NNP,NNP)",9,1369
"ADVP(ADVP,NP)",9,1370
"VP(VBZ,NP,PRT)",9,1371
"ADJP(RB,RB,RB)",8,1372
"S(ADVP,PP,NP)",8,1373
"VP(VBD,ADJP,ADVP)",8,1374
"NP(NP,ADJP,NP)",8,1375
"VP(VBZ,S,NP)",8,1376
"ADJP(JJ,IN,S)",8,1377
"PP(IN,CC,SBAR)",8,1378
"NP(NP,RRC)",8,1379
"VP(VBN,PRN,PP)",8,1380
"SBAR(WHADVP,WHADVP,S)",8,1381
"VP(ADVP,VBG)",8,1382
"NP(FW,NP)",8,1383
"SQ(VBD,NP,ADJP)",8,1384
"VP(FW,HYPH,S)",8,1385
"ADJP(CC,ADJP)",8,1386
"ADVP(RB,RB,S)",8,1387
"ADJP(RBR,JJ,SBAR)",8,1388
"FRAG(ADVP,S)",8,1389
"NP(JJ,JJ,NNPS)",8,1390
"ADJP(ADJP,PP,SBAR)",8,1391
"VP(VBP,NP,PRT)",8,1392
"PP(RP,NP)",8,1393
"NP(NN,JJR)",8,1394
"NP(NN,WRB)",8,1395
"VP(VBZ,PRN,SBAR)",8,1396
"NP(NNP,HYPH,JJ)",8,1397
"PP(RB,IN,PP)",8,1398
"ADJP(RB,JJR,PP)",8,1399
"NML(NNP,NNS)",8,1400
"NP(DT,NN,AFX)",8,1401
"NP(CC,NNP)",8,1402
"ADJP(JJ,CC,JJS)",8,1403
"ADJP(JJ,VBG)",8,1404
"NP(NNS,HYPH,NNS)",8,1405
"NP(CC,NP,PP)",8,1406
"PP(PP,PP,PP)",8,1407
"NML(NN,DT)",8,1408
"ADVP(UH,RB)",8,1409
"NP(DT,UCP,NNS)",8,1410
"NP(CD,NN,POS)",8,1411
"S(SBAR,VP,NP)",8,1412
"WHNP(WP,RB)",8,1413
"SBARQ(RB,WHADVP,SQ)",8,1414
"SBAR(CONJP,S)",8,1415
"NML(NN,HYPH,NNS)",8,1416
"S(NP,NP,NP)",8,1417
"ADJP(JJ,CC,JJR)",8,1418
"NP(NP,SBAR,NP)",8,1419
"NP(NN,NNP,POS)",8,1420
"VP(VBD,ADVP,ADVP)",8,1421
"VP(VBP,SBAR,SBAR)",8,1422
"NP(PRP$,NNP,POS)",8,1423
"NP(NN,IN)",8,1424
"SBAR(SBAR,VP)",8,1425
"NP(RB,PRP$,NNS)",8,1426
"VP(VB,SBARQ)",8,1427
"VP(VBP,CC,VP)",8,1428
"NML(JJ,HYPH,NNS)",8,1429
"PP(IN,CC,PP)",8,1430
"ADJP(JJ,IN,NP)",8,1431
"NP(DT,NN,RP)",8,1432
"NP(NNP,DT,NNP)",8,1433
"NML(DT,HYPH,NN)",8,1434
"ADJP(ADVP,JJ,S)",8,1435
"NP(NP,S,NP)",8,1436
"SBAR(ADVP,WRB,S)",8,1437
"S(S,S,VP)",8,1438
"NP(DT,JJ,PP)",8,1439
"NP(ADJP,JJ)",8,1440
"VP(FW,ADVP)",8,1441
"PP(IN,INTJ)",8,1442
"NML(NNP,POS)",8,1443
"NP(VBG,CC,NN)",8,1444
"NP(NNP,NN,SBAR)",8,1445
"NP(DT,UCP,NN)",8,1446
"NP(NP,NP,ADVP)",8,1447
"ADVP(RB,JJ,PP)",8,1448
"VP(VBD,PP,ADJP)",8,1449
"NP(VB,NN)",8,1450
"PP(JJ,NP)",8,1451
"VP(VB,PP,ADJP)",8,1452
"SBAR(NP,IN,S)",8,1453
"S(SQ,CC,SQ)",8,1454
"ADJP(DT,RBR,JJ)",8,1455
"NP(ADVP,DT)",8,1456
"VP(FW,FW)",8,1457
"VP(JJ,PP,PP)",8,1458
"SBAR(VBN,S)",8,1459
"NP(NP,JJR)",8,1460
"ADJP(RBR,RB)",8,1461
"ADVP(DT,RBR)",8,1462
"NP(NN,PP)",8,1463
